"locale","en_US","it_IT","ru_RU","pt_BR","zh_CN","pl_PL","fr_FR","es_ES","en_GB","de_DE"
"The commit (version) of the remote server does not match the commit (version) of your local server","The commit (version) of the remote server does not match the commit (version) of your local server","Il commit (versione) del server remoto non corrisponde al commit (versione) del tuo server locale","Коммит (версия) удаленного сервера не соответствует коммиту (версии) вашего локального сервера","A versão do servidor remoto não condiz com a versão do servidor local","远程服务器的提交（版本）与您的本地服务器的提交（版本）不匹配","Commit (wersja) zdalnego serwera nie zgadza się z commitem (wersją) twojego lokalnego serwera","Le commit (version) du serveur distant ne correspond pas au commit (version) de votre serveur local","El commit (versión) del servidor remoto no coincide con el commit (versión) de su servidor local","The commit (version) of the remote server does not match the commit (version) of your local server","Der Commit (Version) des Remote-Servers stimmt nicht mit dem Commit (Version) Ihres lokalen Servers überein"
"Waiting for the servers to appear on the local network...","Waiting for the servers to appear on the local network...","In attesa che i server appaiano sulla rete locale...","Ждем, пока серверы появятся в локальной сети...","Aguardando servidores aparecerem na rede local…","正在等待本地网络中出现服务器……","Oczekiwanie na pojawienie się serwerów w sieci lokalnej...","En attente que les serveurs apparaissent sur le réseau local...","Esperando a que los servidores aparezcan en la red local...","Waiting for the servers to appear on the local network...","Warten darauf, dass die Server im lokalen Netzwerk erscheinen..."
"Quit","Quit","Esci","Выйти","Sair","退出","Wyjdź","Quitter","Salir","Quit","Beenden"
"Host Game","Host Game","Ospita partita","Создать игру","Hospedar partida","主持游戏","Gospodarz gry","Héberger une partie","Alojar partida","Host Game","Spiel hosten"
"Game Map","Game Map","Mappa di gioco","Игровая карта","Mapa do Jogo","游戏地图","Mapa gry","Carte de jeu","Mapa del juego","Game Map","Spielkarte"
"Summoner's Rift","Summoner's Rift","Landa dell'Evocatore","Ущелье призывателей","Summoner's Rift","召唤师峡谷","Szczelina Przywoływacza","Faille de l'Invocateur","Grieta del Invocador","Summoner's Rift","Kluft der Beschwörer"
"Game Mode","Game Mode","Modalita di gioco","Игровой режим","Modo de Jogo","游戏模式","Tryb gry","Mode de jeu","Modo de juego","Game Mode","Spielmodus"
"Classic","Classic","Classico","Классический","Clássico","经典","Klasyczny","Classique","Clásico","Classic","Klassisch"
"Game Type","Game Type","Tipo di partita","Тип игры","Tipo de Jogo","游戏类型","Typ gry","Type de partie","Tipo de partida","Game Type","Spieltyp"
"Blind Pick","Blind Pick","Selezione alla cieca","Выбор вслепую","Escolha às Cegas","盲选","Losowy wybór","Sélection aveugle","Selección a ciegas","Blind Pick","Blindauswahl"
"Tick Rate","Tick Rate","Frequenza tick","Частота обновлений","Tick Rate","刷新率","Częstotliwość ticków","Fréquence de tick","Tasa de ticks","Tick Rate","Tick-Rate"
"Team Size","Team Size","Dimensione della squadra","Размер команды","Tamanho da Equipe","队伍规模","Rozmiar drużyny","Taille de l'équipe","Tamaño del equipo","Team Size","Teamgröße"
"Password (Optional)","Password (Optional)","Password (Opzionale)","Пароль (необязательно)","Senha (Opcional)","密码（可选）","Hasło (Opcjonalne)","Mot de passe (Optionnel)","Contraseña (Opcional)","Password (Optional)","Passwort (Optional)"
"password","password","password","пароль","senha","密码","hasło","mot de passe","contraseña","password","passwort"
"Champions","Champions","Champions","Чемпионы","Campeões","英雄","Mistrzowie","Champions","Campeones","Champions","Champions"
"Click to select","Click to select","Fare clic per selezionare","Нажмите для выбора","Clique para selecionar","点击选择","Kliknij, aby wybrać","Cliquez pour sélectionner","Haga clic para seleccionar","Click to select","Klicken zum Auswählen"
"Summoner Spells","Summoner Spells","Incantesimi dell'evocatore","Заклинания призывателя","Feitiços de Invocador","召唤师技能","Zaklęcia Przywoływacza","Sortilèges d'invocateur","Hechizos de invocador","Summoner Spells","Beschwörerzauber"
"Features","Features","Caratteristiche","Опции","Configurações","功能","Funkcje","Fonctionnalités","Características","Features","Funktionen"
"Summoner's Name","Summoner's Name","Nome dell'evocatore","Имя призывателя","Nome de Invocador","召唤师名称","Nazwa Przywoływacza","Nom de l'invocateur","Nombre del invocador","Summoner's Name","Name des Beschwörers"
"Join","Join","Unisciti","Присоединиться","Juntar-se","加入","Dołącz","Rejoindre","Unirse","Join","Beitreten"
"Add Bot","Add Bot","Aggiungi Bot","Добавить бота","Adicionar Bot","添加机器人","Dodaj Bota","Ajouter un bot","Añadir bot","Add Bot","Bot hinzufügen"
"Autofill","Autofill","Riempimento automatico","Автозаполнение","Preenchimento Automático","自动填充","Autouzupełnianie","Remplissage automatique","Autorrelleno","Autofill","Autoausfüllen"
"Start Game","Start Game","Inizia partita","Начать игру","Iniciar partida","开始游戏","Rozpocznij grę","Commencer la partie","Iniciar partida","Start Game","Spiel starten"
"You cannot start the game until all players are fully connected (☑)","You cannot start the game until all players are fully connected (☑)","Non puoi iniziare la partita finché tutti i giocatori non sono completamente connessi (☑)","Вы не можете начать игру, пока все игроки не будут полностью подключены (☑)","Não é possível iniciar partida até que todos jogadores estejam conectados  (☑)","在所有玩家完全连接（☑）之前，您无法开始游戏","Nie możesz rozpocząć gry, dopóki wszyscy gracze nie będą w pełni połączeni (☑)","Vous ne pouvez pas commencer la partie tant que tous les joueurs ne sont pas entièrement connectés (☑)","No puedes iniciar la partida hasta que todos los jugadores estén completamente conectados (☑)","You cannot start the game until all players are fully connected (☑)","Sie können das Spiel nicht starten, bis alle Spieler vollständig verbunden sind (☑)"
"You cannot start the game until all players are fully connected and marked by ✅","You cannot start the game until all players are fully connected and marked by ✅","Non puoi iniziare la partita finché tutti i giocatori non sono completamente connessi e contrassegnati da ✅","Вы не можете начать игру, пока все игроки не будут полностью подключены и отмечены ✅","Não é possível iniciar partida até que todos jogadores estejam conectados e marcados com ✅","在所有玩家完全连接并显示✅标记之前，您无法开始游戏","Nie możesz rozpocząć gry, dopóki wszyscy gracze nie będą w pełni połączeni i oznaczeni ✅","Vous ne pouvez pas commencer la partie tant que tous les joueurs ne sont pas entièrement connectés et marqués par ✅","No puedes iniciar la partida hasta que todos los jugadores estén completamente conectados y marcados con ✅","You cannot start the game until all players are fully connected and marked by ✅","Sie können das Spiel nicht starten, bis alle Spieler vollständig verbunden und mit ✅ markiert sind"
"Offline","Offline","Offline","Не в сети","Offline","离线","Offline","Hors ligne","Sin conexión","Offline","Offline"
"Edit Masteries","Edit Masteries","Modifica Maestrie","Править Таланты","Editar Talentos","编辑天赋","Edytuj Umiejętności","Modifier les maîtrises","Editar maestrías","Edit Masteries","Meisterschaften bearbeiten"
"Connections","Connections","Connessioni","Соединения","Conexões","连接","Połączenia","Connexions","Conexiones","Connections","Verbindungen"
"Invite / Connect","Invite / Connect","Invita / Connettiti","Пригласить / Подключиться","Convidar / Conectar","邀请/连接","Zaprosz / Połącz","Inviter / Se connecter","Invitar / Conectar","Invite / Connect","Einladen / Verbinden"
"No connections","No connections","Nessuna connessione","Нет соединений","Sem Conexões","无连接","Brak połączeń","Aucune connexion","Sin conexiones","No connections","Keine Verbindungen"
"Mastery Page 1","Mastery Page 1","Pagina Maestria 1","Страница Талантов 1","Pagina de Talentos 1","天赋第1页","Strona Umiejętności 1","Page de maîtrise 1","Página de maestría 1","Mastery Page 1","Meisterschaftsseite 1"
"Lock In","Lock In","Conferma","Блокировать","Confirmar","锁定","Zatwierdź","Verrouiller","Bloquear","Lock In","Festlegen"
"Loading data...","Loading data...","Caricamento dati in corso…","Загрузка данных...","Carregando dados…","加载数据……","Ładowanie danych...","Chargement des données...","Cargando datos...","Loading data...","Daten werden geladen..."
"There are no merge requests for testing","There are no merge requests for testing","Non ci sono merge request da testare","Нет запросов на слияние доступных для тестирования","Não há merge requests para testar","没有待测试的合并请求","Nie ma żądań scalania do przetestowania","Il n'y a aucune demande de fusion à tester","No hay solicitudes de fusión para probar","There are no merge requests for testing","Es gibt keine Merge-Anfragen zum Testen"
"!36 · created 20 hours ago by Jinx","!36 · created 20 hours ago by Jinx","!36 · creato 20 ore fa da Jinx","!36 · создано 20 часов назад пользователем Jinx","","!36 · 20小时前由Jinx创建","!36 · utworzone 20 godzin temu przez Jinx","!36 · créé il y a 20 heures par Jinx","!36 · creado hace 20 horas por Jinx","!36 · created 20 hours ago by Jinx","!36 · vor 20 Stunden von Jinx erstellt"
"Don't change the branch","Don't change the branch","Non cambiare il ramo","Не менять ветку","Não mudar de branch","请勿更改分支","Nie zmieniaj gałęzi","Ne changez pas de branche","No cambie la rama","Don't change the branch","Ändern Sie nicht die Branche"
"Play","Play","Gioca","Играть","Jogar","开始游戏","Graj","Jouer","Jugar","Play","Spielen"
"Delete","Delete","Elimina","Удалить","Deletar","删除","Usuń","Supprimer","Eliminar","Delete","Löschen"
"Revert","Revert","Ripristina","Вернуть","Reverter","回滚","Przywróć","Rétablir","Revertir","Revert","Zurücksetzen"
"Save","Save","Salva","Сохранить","Salvar","保存","Zapisz","Enregistrer","Guardar","Save","Speichern"
"Offense","Offense","Offense","Неистовство","Ataque","进攻","Ofensywa","Attaque","Ofensiva","Offense","Offensive"
"Points Available:","Points Available:","Punti Disponibili:","Доступные баллы:","Pontos Diponíveis:","可用点数","Dostępne punkty:","Points disponibles :","Puntos disponibles:","Points Available:","Verfügbare Punkte:"
"Enter your message here","Enter your message here","Inserisci qui il tuo messaggio","Введите свое сообщение здесь","Digite sua mensagem aqui","在此输入您的消息","Wpisz swoją wiadomość tutaj","Entrez votre message ici","Introduzca su mensaje aquí","Enter your message here","Geben Sie hier Ihre Nachricht ein"
"Discord","Discord","Discord","Дискорд","Discord","Discord","Discord","Discord","Discord","Discord","Discord"
"New game found!","New game found!","Nuova partita trovata!","Найдена новая игра!","Nova partida encontrada!","找到新游戏！","Znaleziono nową grę!","Nouvelle partie trouvée !","¡Nueva partida encontrada!","New game found!","Neues Spiel gefunden!"
"Copy the text below and send it to players you trust so they can connect","Copy the text below and send it to players you trust so they can connect","Copia il testo qui sotto e invialo ai giocatori di cui ti fidi in modo che possano connettersi","Скопируйте текст ниже и отправьте его игрокам, которым вы доверяете, чтобы они могли подключиться","Copie o texto abaixo e envie para outros jogadores que você confia para ele conectarem","复制下方文本并发送给您信任的玩家，以便他们连接","Skopiuj poniższy tekst i wyślij go graczom, którym ufasz, aby mogli się połączyć","Copiez le texte ci-dessous et envoyez-le aux joueurs en qui vous avez confiance afin qu'ils puissent se connecter","Copie el texto de abajo y envíelo a los jugadores en los que confía para que puedan conectarse","Copy the text below and send it to players you trust so they can connect","Kopieren Sie den Text unten und senden Sie ihn an Spieler, denen Sie vertrauen, damit sie sich verbinden können"
"Paste the text you received from someone you trust and click connect","Paste the text you received from someone you trust and click connect","Incolla il testo che hai ricevuto da qualcuno di cui ti fidi e clicca su Connetti","Вставьте текст, полученный от человека, которому вы доверяете, и нажмите подключиться","Cole o texto que você recebeu de um jogador que você confia e clique em conectar","粘贴您从可信联系人处收到的文本，然后点击“连接”","Wklej tekst otrzymany od osoby, której ufasz, i kliknij połącz","Collez le texte que vous avez reçu de quelqu'un en qui vous avez confiance et cliquez sur se connecter","Pegue el texto que recibió de alguien en quien confía y haga clic en conectar","Paste the text you received from someone you trust and click connect","Fügen Sie den Text ein, den Sie von jemandem erhalten haben, dem Sie vertrauen, und klicken Sie auf verbinden"
"Continue","Continue","Continua","Продолжить","Continuar","继续","Kontynuuj","Continuer","Continuar","Continue","Weiter"
"{i}v{i}","{i}v{i}","{i}v{i}","{i} на {i}","{i}v{i}","{i}v{i}","{i} na {i}","{i} contre {i}","{i} contra {i}","{i}v{i}","{i} gegen {i}"
"{v} fps","{v} fps","{v} fps","{v} герц","{v} fps","{v} fps","{v} fps","{v} fps","{v} fps","{v} fps","{v} fps"
"Force the use of English, ignoring the system settings","Force the use of English, ignoring the system settings","Force the use of English, ignoring the system settings","Force the use of English, ignoring the system settings","Force the use of English, ignoring the system settings","Force the use of English, ignoring the system settings","Wymuś użycie języka angielskiego, ignorując ustawienia systemowe","Forcer l'utilisation de l'anglais, en ignorant les paramètres du système","Forzar el uso del inglés, ignorando la configuración del sistema","Force the use of English, ignoring the system settings","Erzwingen Sie die Verwendung von Englisch, indem Sie die Systemeinstellungen ignorieren"
"Draft Pick","Draft Pick","Selezione draft","Выбор по очереди","Escolha por draft","选人模式","Wybór projektowy","Sélection par draft","Selección por draft","Draft Pick","Draft-Auswahl"
"All Random","All Random","Tutto casuale","Все случайные","Tudo aleatório","全随机","Całkowicie losowy","Tout aléatoire","Todo aleatorio","All Random","Alles zufällig"
"Enable Firewall Mode","Enable Firewall Mode","Abilita modalità firewall","Включить режим брандмауэра","Ativar modo de firewall","启用防火墙模式","Włącz tryb zapory sieciowej","Activer le mode pare-feu","Activar modo cortafuegos","Enable Firewall Mode","Firewall-Modus aktivieren"
"Enable Bypass Mode","Enable Bypass Mode","Abilita modalità bypass","Включить режим обхода","Ativar modo de bypass","启用绕过模式","Włącz tryb obejścia","Activer le mode contournement","Activar modo de omisión","Enable Bypass Mode","Umgehungsmodus aktivieren"
"Perform a free disk space check","Perform a free disk space check","Esegui controllo spazio su disco libero","Выполнить проверку свободного места на диске","Verificar espaço livre em disco","检查可用磁盘空间","Sprawdź wolne miejsce na dysku","Vérifier l'espace disque libre","Comprobar espacio libre en disco","Perform a free disk space check","Freien Speicherplatz überprüfen"
"(Internal) Specify the auto-suggested locale to use","(Internal) Specify the auto-suggested locale to use","(Interno) Specificare le impostazioni locali suggerite automaticamente da utilizzare","(Внутренний) Укажите автоматически предложенный язык для использования","(Interno) Especificar a localidade sugerida automaticamente para usar","(内部) 指定要使用的自动建议区域设置","(Wewnętrzne) Określ automatycznie sugerowane ustawienia regionalne do użycia","(Interne) Spécifier les paramètres régionaux suggérés automatiquement à utiliser","(Interno) Especificar la configuración regional sugerida automáticamente para usar","(Internal) Specify the auto-suggested locale to use","(Intern) Geben Sie das automatisch vorgeschlagene Gebietsschema an, das verwendet werden soll"
"(Internal) Specify the locale to use","(Internal) Specify the locale to use","(Interno) Specificare le impostazioni locali da utilizzare","(Внутренний) Укажите язык для использования","(Interno) Especificar a localidade a ser usada","(内部) 指定要使用的区域设置","(Wewnętrzne) Określ ustawienia regionalne do użycia","(Interne) Spécifier les paramètres régionaux à utiliser","(Interno) Especificar la configuración regional a usar","(Internal) Specify the locale to use","(Intern) Geben Sie das zu verwendende Gebietsschema an"
"An unexpected exception occurred:","An unexpected exception occurred:","Si è verificata un'eccezione imprevista:","Произошло непредвиденное исключение:","Ocorreu uma exceção inesperada:","发生意外异常","Wystąpił nieoczekiwany wyjątek:","Une exception inattendue s'est produite :","Se produjo una excepción inesperada:","An unexpected exception occurred:","Eine unerwartete Ausnahme ist aufgetreten:"
"Reading filesystem stats failed","Reading filesystem stats failed","Lettura delle statistiche del filesystem non riuscita","Не удалось прочитать статистику файловой системы","Falha ao ler estatísticas do sistema de arquivos","读取文件系统统计信息失败","Odczytywanie statystyk systemu plików nie powiodło się","Échec de la lecture des statistiques du système de fichiers","Falló la lectura de las estadísticas del sistema de archivos","Reading filesystem stats failed","Lesen der Dateisystemstatistiken fehlgeschlagen"
"{size} more disk space required on {path}","{size} more disk space required on {path}","Richiesti {size} di spazio su disco in più su {path}","Требуется еще {size} дискового пространства на {path}","Mais {size} de espaço em disco necessário em {path}","{path} 路径下需要 {size} 更多磁盘空间","Na ścieżce {path} wymagane jest {size} więcej miejsca na dysku","{size} d'espace disque supplémentaire requis sur {path}","Se requiere {size} más de espacio en disco en {path}","{size} more disk space required on {path}","Auf {path} sind {size} mehr Speicherplatz erforderlich"
"Restoring launcher package failed:","Restoring launcher package failed:","Ripristino del pacchetto del launcher non riuscito:","Не удалось восстановить пакет лаунчера:","Falha ao restaurar o pacote do launcher:","恢复启动器包失败","Przywracanie pakietu launchera nie powiodło się:","Échec de la restauration du paquet du lanceur :","Falló la restauración del paquete del lanzador:","Restoring launcher package failed:","Wiederherstellen des Launcher-Pakets fehlgeschlagen:"
"Moving ""{foundPkgDir}"" to ""{pkg_dir}""...","Moving ""{foundPkgDir}"" to ""{pkg_dir}""...","Spostamento di ""{foundPkgDir}"" in ""{pkg_dir}""...","Перемещение ""{foundPkgDir}"" в ""{pkg_dir}""...","Movendo ""{foundPkgDir}"" para ""{pkg_dir}""...","将 “{foundPkgDir}” 移动到 “{pkg_dir}”...","Przenoszenie „{foundPkgDir}” do „{pkg_dir}”...","Déplacement de « {foundPkgDir} » vers « {pkg_dir} »...","Moviendo ""{foundPkgDir}"" a ""{pkg_dir}""...","Moving ""{foundPkgDir}"" to ""{pkg_dir}""...","Verschieben von „{foundPkgDir}“ nach „{pkg_dir}“..."
"Moving files from ""{foundPkgDir}"" to ""{pkg_dir}""...","Moving files from ""{foundPkgDir}"" to ""{pkg_dir}""...","Spostamento dei file da ""{foundPkgDir}"" a ""{pkg_dir}""...","Перемещение файлов из ""{foundPkgDir}"" в ""{pkg_dir}""...","Movendo arquivos de ""{foundPkgDir}"" para ""{pkg_dir}""...","将文件从 “{foundPkgDir}” 移动到 “{pkg_dir}”...","Przenoszenie plików z „{foundPkgDir}” do „{pkg_dir}”...","Déplacement des fichiers de « {foundPkgDir} » vers « {pkg_dir} »...","Moviendo archivos de ""{foundPkgDir}"" a ""{pkg_dir}""...","Moving files from ""{foundPkgDir}"" to ""{pkg_dir}""...","Verschieben von Dateien von „{foundPkgDir}“ nach „{pkg_dir}“..."
"Skipping ""{foundPkgDir}"" because it does not contain some files: {missingEntries}","Skipping ""{foundPkgDir}"" because it does not contain some files: {missingEntries}","Saltando ""{foundPkgDir}"" perché mancano alcuni file: {missingEntries}","Пропуск ""{foundPkgDir}"", так как отсутствуют некоторые файлы: {missingEntries}","Ignorando ""{foundPkgDir}"" porque não contém alguns arquivos: {missingEntries}","跳过 “{foundPkgDir}”，因为它缺少以下文件：{missingEntries}","Pomijanie „{foundPkgDir}”, ponieważ brakuje w nim niektórych plików: {missingEntries}","Ignorer « {foundPkgDir} » car il ne contient pas certains fichiers : {missingEntries}","Omitiendo ""{foundPkgDir}"" porque no contiene algunos archivos: {missingEntries}","Skipping ""{foundPkgDir}"" because it does not contain some files: {missingEntries}","„{foundPkgDir}“ wird übersprungen, da einige Dateien fehlen: {missingEntries}"
"Moving ""{foundPkgZip}"" to ""{pkg_zip}""","Moving ""{foundPkgZip}"" to ""{pkg_zip}""","Spostamento di ""{foundPkgZip}"" in ""{pkg_zip}""","Перемещение ""{foundPkgZip}"" в ""{pkg_zip}""","Movendo ""{foundPkgZip}"" para ""{pkg_zip}""","将 “{foundPkgZip}” 移动到 “{pkg_zip}”","Przenoszenie „{foundPkgZip}” do „{pkg_zip}”","Déplacement de « {foundPkgZip} » vers « {pkg_zip} »","Moviendo ""{foundPkgZip}"" a ""{pkg_zip}""","Moving ""{foundPkgZip}"" to ""{pkg_zip}""","Verschieben von „{foundPkgZip}“ nach „{pkg_zip}“"
"Running","Running","In esecuzione","Запуск","Executando","正在运行","Uruchamianie","En cours d'exécution","Ejecutando","Running","Läuft"
"Out-of-date data cleanup failed.","Out-of-date data cleanup failed.","Pulizia dei dati obsoleti non riuscita.","Очистка устаревших данных не удалась.","Falha na limpeza de dados desatualizados.","过期数据清理失败","Czyszczenie nieaktualnych danych nie powiodło się.","Échec du nettoyage des données obsolètes.","Falló la limpieza de datos obsoletos.","Out-of-date data cleanup failed.","Bereinigung veralteter Daten fehlgeschlagen."
"Enter player name","Enter player name","Inserisci nome giocatore","Введите имя игрока","Digite o nome do jogador","输入玩家名称","Wprowadź nazwę gracza","Entrez le nom du joueur","Introduzca el nombre del jugador","Enter player name","Spielernamen eingeben"
"Checkbox","Checkbox","Casella di controllo","Флажок","Caixa de seleção","复选框","Pole wyboru","Case à cocher","Casilla de verificación","Checkbox","Kontrollkästchen"
"Check Features Enabled","Check Features Enabled","Controlla funzionalità abilitate","Отметьте включенные функции","Marcar recursos ativados","勾选已启用功能","Zaznacz Włączone funkcje","Cocher Fonctionnalités activées","Marcar Funciones habilitadas","Check Features Enabled","Aktivierte Funktionen prüfen"
"Select a custom game lobby","Select a custom game lobby","Seleziona una lobby di gioco personalizzata","Выберите пользовательское игровое лобби","Selecione um saguão de jogo personalizado","选择自定义游戏大厅","Wybierz niestandardową poczekalnię gry","Sélectionner un hall de jeu personnalisé","Seleccionar un vestíbulo de juego personalizado","Select a custom game lobby","Benutzerdefinierte Spiel-Lobby auswählen"
"Insufficient disk space","Insufficient disk space","Spazio su disco insufficiente","Недостаточно места на диске","Espaço em disco insuficiente","磁盘空间不足","Niewystarczająca ilość miejsca na dysku","Espace disque insuffisant","Espacio en disco insuficiente","Insufficient disk space","Nicht genügend Speicherplatz"
"Retry ↻","Retry ↻","Riprova ↻","Повторить ↻","Tentar novamente ↻","重试 ↻","Ponów ↻","Réessayer ↻","Reintentar ↻","Retry ↻","Wiederholen ↻"
"Experiments","Experiments","Sperimentazioni","Эксперименты","Experimentos","实验功能","Eksperymenty","Expériences","Experimentos","Experiments","Experimente"
"HALF-PING: Trying to lower the ping and equalize it for everyone. Causes desynchronization!","HALF-PING: Trying to lower the ping and equalize it for everyone. Causes desynchronization!","HALF-PING: Tentativo di ridurre il ping e uniformarlo per tutti. Provoca desincronizzazione!","HALF-PING: Попытка снизить пинг и выровнять его для всех. Вызывает десинхронизацию!","HALF-PING: Tentando reduzir o ping e igualá-lo para todos. Causa dessincronização!","HALF-PING：尝试降低延迟并使其对所有人保持一致会导致不同步！","HALF-PING: Próba obniżenia pingu i wyrównania go dla wszystkich. Powoduje desynchronizację!","HALF-PING : Essayer de réduire le ping et de l'égaliser pour tout le monde. Provoque une désynchronisation !","HALF-PING: Intentar reducir el ping y igualarlo para todos. ¡Causa desincronización!","HALF-PING: Trying to lower the ping and equalize it for everyone. Causes desynchronization!","HALF-PING: Versuch, den Ping zu senken und für alle auszugleichen. Verursacht Desynchronisation!"
"BYPASS: Connect the client to the local server directly.","BYPASS: Connect the client to the local server directly.","BYPASS: Connetti il client direttamente al server locale.","BYPASS: Подключить клиент к локальному серверу напрямую.","BYPASS: Conectar o cliente ao servidor local diretamente.","BYPASS：将客户端直接连接到本地服务器","BYPASS: Bezpośrednie połączenie klienta z serwerem lokalnym.","BYPASS : Connecter le client directement au serveur local.","BYPASS: Conectar el cliente al servidor local directamente.","BYPASS: Connect the client to the local server directly.","BYPASS: Den Client direkt mit dem lokalen Server verbinden."
"Play Alone","Play Alone","Gioca da solo","Играть в одиночку","Jogar sozinho","单人游玩","Graj sam","Jouer seul","Jugar solo","Play Alone","Allein spielen"
"Publish Game","Publish Game","Pubblica partita","Опубликовать игру","Publicar partida","发布游戏","Opublikuj grę","Publier la partie","Publicar partida","Publish Game","Spiel veröffentlichen"
"Building","Building","Compilazione","Сборка","Compilando","建筑","Budowanie","Construction","Construyendo","Building","Bauen"
"automatic command","automatic command","comando automatico","автоматическая команда","comando automático","自动命令","polecenie automatyczne","commande automatique","comando automático","automatic command","automatischer Befehl"
"custom command","custom command","comando personalizzato","пользовательская команда","comando personalizado","自定义命令","polecenie niestandardowe","commande personnalisée","comando personalizado","custom command","benutzerdefinierter Befehl"
"automatic location","automatic location","posizione automatica","автоматическое расположение","localização automática","自动位置","lokalizacja automatyczna","emplacement automatique","ubicación automática","automatic location","automatische Position"
"C drive","C drive","unità C","диск C","unidade C","C 盘","dysk C","lecteur C","unidad C","C drive","Laufwerk C"
"Fishbones_Data folder","Fishbones_Data folder","cartella Fishbones_Data","папка Fishbones_Data","pasta Fishbones_Data","Fishbones_Data 文件夹","folder Fishbones_Data","dossier Fishbones_Data","carpeta Fishbones_Data","Fishbones_Data folder","Fishbones_Data-Ordner"
"custom location","custom location","posizione personalizzata","пользовательское расположение","localização personalizada","自定义位置","lokalizacja niestandardowa","emplacement personnalisé","ubicación personalizada","custom location","benutzerdefinierte Position"
"The file is unavailable, please try updating at least once.","The file is unavailable, please try updating at least once.","Il file non è disponibile, provare ad aggiornare almeno una volta.","Файл недоступен, попробуйте обновить хотя бы один раз.","O arquivo não está disponível, tente atualizar pelo menos uma vez.","文件不可用，请至少尝试更新一次。","Plik jest niedostępny, spróbuj zaktualizować przynajmniej raz.","Le fichier n'est pas disponible, veuillez essayer de mettre à jour au moins une fois.","El archivo no está disponible, intente actualizar al menos una vez.","The file is unavailable, please try updating at least once.","Die Datei ist nicht verfügbar, bitte versuchen Sie mindestens einmal zu aktualisieren."
"No servers with suitable clients are installed","No servers with suitable clients are installed","Non sono installati server con client appropriati","Не установлены серверы с подходящими клиентами","Nenhum servidor com clientes adequados está instalado","未安装具有合适客户端的服务器","Nie zainstalowano żadnych serwerów z odpowiednimi klientami","Aucun serveur avec des clients appropriés n'est installé","No hay servidores instalados con clientes adecuados","No servers with suitable clients are installed","Keine Server mit geeigneten Clients installiert"
"You do not have the client version required to play on this server","You do not have the client version required to play on this server","Non hai la versione del client richiesta per giocare su questo server","У вас нет версии клиента, необходимой для игры на этом сервере","Você não tem a versão do cliente necessária para jogar neste servidor","您没有在此服务器上玩游戏所需的客户端版本","Nie masz wymaganej wersji klienta do gry na tym serwerze","Vous n'avez pas la version du client requise pour jouer sur ce serveur","No tiene la versión del cliente requerida para jugar en este servidor","You do not have the client version required to play on this server","Sie haben nicht die Client-Version, die erforderlich ist, um auf diesem Server zu spielen"
"The game client will crash at the beginning of the game","The game client will crash at the beginning of the game","Il client di gioco si bloccherà all'inizio della partita","Игровой клиент вылетит в начале игры","O cliente do jogo irá travar no início da partida","游戏客户端将在游戏开始时崩溃","Klient gry zawiesi się na początku gry","Le client de jeu plantera au début de la partie","El cliente del juego se bloqueará al comienzo de la partida","The game client will crash at the beginning of the game","Der Spielclient wird am Anfang des Spiels abstürzen"
"Unknown #UNK","Unknown #UNK","Sconosciuto #UNK","Неизвестно #UNK","Desconhecido #UNK","未知 #UNK","Nieznany #UNK","Inconnu #UNK","Desconocido #UNK","Unknown #UNK","Unbekannt #UNK"
"Anonymous {champion}","Anonymous {champion}","Anonimo {champion}","Аноним {champion}","Anônimo {champion}","匿名 {champion}","Anonimowy {champion}","Anonyme {champion}","Anónimo {champion}","Anonymous {champion}","Anonym {champion}"
"Install the package with additional locales","Install the package with additional locales","Installa il pacchetto con impostazioni locali aggiuntive","Установить пакет с дополнительными языковыми стандартами","Instalar o pacote com localidades adicionais","安装包含额外区域设置的包","Zainstaluj pakiet z dodatkowymi ustawieniami regionalnymi","Installer le paquet avec des paramètres régionaux supplémentaires","Instalar el paquete con configuraciones regionales adicionales","Install the package with additional locales","Paket mit zusätzlichen Gebietsschemas installieren"
"(Debug) Update git repositories","(Debug) Update git repositories","(Debug) Aggiorna repository git","(Отладка) Обновить git-репозитории","(Debug) Atualizar repositórios git","(调试) 更新 git 仓库","(Debug) Aktualizuj repozytoria git","(Débogage) Mettre à jour les dépôts git","(Depurar) Actualizar repositorios git","(Debug) Update git repositories","(Debug) Git-Repositories aktualisieren"
"Disable Summoner Spells","Disable Summoner Spells","Disabilita incantesimi dell'evocatore","Отключить заклинания призывателя","Desativar feitiços de invocador","禁用召唤师技能","Wyłącz zaklęcia przywoływacza","Désactiver les sortilèges d'invocateur","Desactivar hechizos de invocador","Disable Summoner Spells","Beschwörerzauber deaktivieren"
"Enable All Champions","Enable All Champions","Abilita tutti i campioni","Включить всех чемпионов","Ativar todos os campeões","启用所有英雄","Włącz wszystkich mistrzów","Activer tous les champions","Activar todos los campeones","Enable All Champions","Alle Champions aktivieren"
"Latest version on releases page:","Latest version on releases page:","Ultima versione nella pagina delle release:","Последняя версия на странице релизов:","Última versão na página de lançamentos:","发布页面上的最新版本：","Najnowsza wersja na stronie wydań:","Dernière version sur la page des versions :","Última versión en la página de versiones:","Latest version on releases page:","Neueste Version auf der Releases-Seite:"
